GENERAL INFO
name,null
elevation (m),2254.799761352539
aspect,null
air temperature (c),null
slope angle (deg),null
profilePrivacy,public
totalSnowDepth (cm),null
freeText,null
collectionTime,Feb 1 2025 11:32 Mountain Standard Time
collectionTime (Unix Time),1738434721
creator name,Coleman Kane
org name,cryogars
Location,44.99930778607245,-116.1338638253239

SCOPE PROFILE
testNum,83
serialNum,00321
profileDepth (mm),875
batteryCapacity,0
errorCode,0
temperature,-4
FW_version,2.4.1
PCB_version,v2.7
depth (mm),hardness (kPa),optical Reflectance Avg
1,3.08,496
2,3.23,496
3,3.08,500
4,3.03,500
5,3.03,500
6,3.03,500
7,3.08,500
8,2.93,496
9,2.88,496
10,3.08,496
11,3.03,496
12,3.03,496
13,2.68,496
14,3.13,496
15,2.98,496
16,2.58,496
17,2.58,496
18,2.63,496
19,2.43,491
20,2.58,491
21,2.58,491
22,2.58,491
23,2.68,491
24,2.58,491
25,2.58,491
26,2.58,491
27,2.88,491
28,2.68,491
29,2.68,491
30,3.23,491
31,3.03,491
32,3.23,491
33,3.72,491
34,3.62,491
35,3.48,491
36,3.43,491
37,4.32,491
38,4.47,491
39,4.47,491
40,3.92,491
41,3.82,486
42,3.43,486
43,4.17,486
44,4.17,486
45,4.17,491
46,2.98,491
47,2.98,491
48,3.13,491
49,2.98,491
50,2.88,486
51,2.88,486
52,2.98,486
53,2.83,486
54,2.88,486
55,2.88,486
56,2.83,486
57,2.83,486
58,2.78,486
59,2.68,486
60,2.63,486
61,2.63,486
62,2.83,486
63,2.83,486
64,2.58,486
65,2.58,486
66,2.58,486
67,2.43,486
68,2.43,486
69,2.43,486
70,2.83,486
71,2.83,486
72,2.63,486
73,2.63,486
74,3.28,833
75,3.28,833
76,3.03,833
77,3.03,833
78,3.28,833
79,3.62,1053
80,3.62,1053
81,3.53,1053
82,3.43,1053
83,3.48,1053
84,3.48,1053
85,3.82,955
86,3.48,955
87,3.48,955
88,3.48,955
89,3.48,955
90,3.48,1072
91,3.43,1072
92,3.43,1072
93,3.43,1072
94,3.48,1072
95,3.48,1072
96,3.48,1055
97,2.88,1055
98,2.88,1055
99,3.23,1055
100,3.23,1055
101,3.13,1055
102,3.13,927
103,2.83,927
104,2.83,927
105,2.78,927
106,2.78,927
107,2.68,927
108,2.63,943
109,2.63,943
110,2.43,943
111,2.68,943
112,2.53,943
113,2.53,943
114,2.33,973
115,2.33,973
116,2.53,973
117,2.53,973
118,2.53,973
119,2.53,973
120,2.53,828
121,2.53,828
122,3.08,828
123,3.08,828
124,2.58,828
125,2.58,828
126,2.58,828
127,2.58,895
128,3.38,895
129,3.38,895
130,3.23,895
131,3.23,895
132,3.28,895
133,3.28,913
134,3.48,913
135,3.48,913
136,3.48,913
137,3.48,913
138,3.48,913
139,3.48,913
140,3.62,913
141,3.62,838
142,3.62,838
143,3.62,838
144,3.53,838
145,3.53,838
146,3.67,838
147,3.67,838
148,4.07,790
149,4.07,790
150,3.97,790
151,3.97,790
152,3.97,790
153,3.62,790
154,3.62,790
155,3.97,691
156,3.97,691
157,3.87,691
158,3.87,691
159,3.92,691
160,3.92,691
161,3.92,691
162,3.92,815
163,3.92,815
164,3.87,815
165,3.87,815
166,3.87,815
167,3.87,815
168,3.87,815
169,3.97,815
170,3.97,776
171,3.72,776
172,3.72,776
173,3.72,776
174,3.72,776
175,3.72,776
176,3.67,776
177,3.67,741
178,4.32,741
179,4.32,741
180,4.52,741
181,4.07,741
182,4.07,741
183,4.32,741
184,4.32,741
185,4.82,843
186,4.82,843
187,4.82,843
188,4.97,843
189,4.97,843
190,4.97,843
191,4.52,843
192,4.52,843
193,5.12,856
194,5.12,856
195,5.41,856
196,5.41,856
197,5.41,856
198,4.82,856
199,4.82,856
200,4.82,856
201,4.82,798
202,4.82,798
203,5.41,798
204,5.41,798
205,5.41,798
206,5.36,798
207,5.36,798
208,5.56,798
209,5.56,901
210,6.01,901
211,6.01,901
212,6.01,901
213,6.01,901
214,5.46,901
215,5.46,901
216,5.61,901
217,5.61,901
218,5.61,761
219,6.11,761
220,6.11,761
221,6.11,761
222,6.21,761
223,6.21,761
224,6.21,761
225,5.81,761
226,5.81,761
227,5.66,845
228,5.66,845
229,5.66,845
230,5.46,845
231,5.46,845
232,5.46,845
233,5.81,845
234,5.81,845
235,5.81,845
236,5.76,794
237,5.76,794
238,5.76,794
239,5.76,794
240,5.76,794
241,5.76,794
242,5.56,794
243,5.56,794
244,5.56,794
245,5.56,857
246,5.56,857
247,4.52,857
248,4.52,857
249,4.52,857
250,5.12,857
251,5.12,857
252,5.12,857
253,4.77,857
254,4.77,951
255,4.47,951
256,4.47,951
257,4.47,951
258,4.47,951
259,4.27,951
260,4.27,951
261,4.27,951
262,4.27,951
263,4.27,1141
264,5.46,1141
265,5.46,1141
266,5.46,1141
267,4.87,1141
268,4.72,1141
269,4.72,1141
270,4.72,1141
271,4.82,1141
272,4.82,1141
273,3.67,938
274,3.67,938
275,3.67,938
276,3.03,938
277,3.03,938
278,3.03,938
279,3.03,938
280,5.32,938
281,5.32,938
282,5.32,938
283,2.53,899
284,2.53,899
285,2.53,899
286,2.13,899
287,2.13,899
288,2.13,899
289,2.98,899
290,2.98,899
291,2.98,899
292,2.98,899
293,2.98,964
294,2.98,964
