distance,force_median,L2012_lambda,L2012_f0,L2012_delta,L2012_L,CR2020_density,CR2020_ssa
26,0.5455280269961804,2295.887074916525,0.001879492,0.2591098006607128,0.2044999105152071,271.3349281482883,32.246168487536096
26.5,0.5387931130826473,277629.86578650423,9.337779149709697e-05,0.041593436971085834,0.041354353,258.59323139784505,61.957750308235866
27,0.5320581991691142,154732.28192122836,0.000137414,0.050091032,0.050251572,258.45841575432206,58.387110346486935
27.5,0.529364234,34046.73465664916,0.00028454,0.110031068,0.08323733,260.59900928134664,49.03930909035063
28,0.5522629409097135,19442.004915451285,0.000622089,0.091072234,0.10032972314055479,264.44701667132347,45.417938853804245
28.5,0.5684267343021929,133088.4212444169,0.000171634,0.049723941,0.052840048258566884,262.8043452467099,57.21288927412948
29,0.575161648,165427.95666531663,0.000115736,0.060046471,0.049144357,263.28187920708854,58.51551573876651
29.5,0.5899784588254988,17113.708018048586,0.000941864,0.073574729,0.10468760331451699,268.76590428462015,44.38700548741704
30,0.6061422522179782,3079.578935122762,0.001041719,0.3757984674576698,0.18542979431373666,275.95245647326675,33.677409575810046
30.5,0.6236530283931643,4760.498397535106,0.001502061,0.17146595074235754,0.16037099445067549,275.8869305061296,36.267836088054324
31,0.6411638045683503,33611.93760924427,0.000560738,0.06809546,0.083594707,272.40740534727587,48.258506688643365
31.5,0.6640625118743628,54288.39399,0.000357154,0.068267533,0.071248266,273.7652589667093,51.096140957911764
32,0.67753234,82698.00929,0.000321067,0.051093445,0.061921996,274.41461051634883,53.62652011299518
32.5,0.7044719953555614,41192.786030208204,0.000573104,0.05937354,0.078115325,277.85640433548156,49.17212361841497
33,0.714574366,111902.44365955626,0.000162052,0.078801305,0.055983937442011925,277.37158627735306,55.30274458440786
33.5,0.7152478576172143,78904.89257390473,0.000199541,0.090949539,0.062898746,277.8564324668255,53.13777294255336
34,0.7280441940529272,128384.49783076363,0.000254508,0.044482267359201515,0.053477664762983615,278.38973310554513,56.084456854965026
34.5,0.7354525993578136,285218.0796,0.000110895,0.046507593,0.040984309,278.27116370292407,60.98575024185322
35,0.7381465649232268,6606.020951366877,0.00112584,0.19707449348167566,0.14377939365058298,284.69263266482375,37.67788177587486
35.5,0.6539601410040632,554.9832002844698,0.008513218,0.2851508016218439,0.3282842276968352,289.63680903936705,22.797963728109444
36,0.6128771661315113,16018.036099159264,0.000692584,0.11050266542747102,0.10702211778092531,271.23193632761087,43.83830082733703
36.5,0.5805495793465525,8882.315042635695,0.002160923,0.060849502,0.13026704821976667,269.59563738948384,40.38864648377063
37,0.5414870786480606,9133.852849,0.00160048,0.073886499,0.12906008886469364,265.36419064473876,40.81635246
37.5,0.518588371,32563.09568386815,0.000474293,0.066972275,0.084482755,259.4280864733564,48.838937723519265
38,0.511853457,65850.20914130886,0.000287882,0.053939055,0.06680735,257.2809101917521,53.24345071495688
38.5,0.49568966403603554,3658.899085,0.002656123,0.10016317227389426,0.1750759478117363,263.66650705584317,35.480064366349765
39,0.45258621498942375,5617.2729274631365,0.001359711,0.11953721817022739,0.1517637752676095,256.5358915788453,38.46514606
39.5,0.43776940437965095,49498.93808081131,0.000500098,0.035500025,0.073475859,248.10606652511947,52.04980848019672
40,0.42295259376987815,189018.44253601765,0.000276116,0.016242845987042207,0.047008374776422855,243.74331911245932,60.46530398934353
40.5,0.40813578316010535,16366.532879191544,0.001190824,0.041345371,0.10625704504903012,246.57861884571867,45.45948435069059
41,0.37782867054920644,13014.174122742203,0.000946033,0.061463275598738105,0.11469322351483828,242.66180791673787,44.32390573400995
41.5,0.35088901489507407,9981.765979209822,0.001340774,0.052780414,0.1252970469377539,239.1919975705926,42.95344601380742
42,0.3300107817631215,68263.83460360082,0.00040152,0.024143579447135608,0.066010507,229.89871388975308,55.07257707
42.5,0.31923491950146854,127429.26206222983,0.000243832,0.020553574699963176,0.053610958747703684,226.63653807954753,59.05568355360965
43,0.30441810889169574,13161.945094209188,0.000958378,0.047915029,0.11426238155309834,229.62567481673852,45.184458882900714
43.5,0.2882543154992163,97664.01040509522,0.000164634,0.035920294836221035,0.058582123770510204,220.72856502508023,57.78348315970534
44,0.28960129828192294,81125.31433575429,0.000180347,0.039627708,0.062319577,221.39638460235906,56.61855797988826
44.5,0.2922952638473362,79322.89349889025,0.000165704,0.044362048290642254,0.062788067,222.02119803759985,56.44566516459647
45,0.2882543154992163,22295.326948239068,0.000409828,0.062898212,0.09585292,224.48684050035888,48.644811248404025
45.5,0.2808459101943299,19772.779762029102,0.000447934,0.063349401,0.099767109,223.29874634257985,47.99726812178842
46,0.28286638436838984,39050.808796068806,0.000412628,0.035113496,0.079518214,221.67617613141405,52.181412956448014
46.5,0.28960129828192294,31277.135281483817,0.000285001,0.065332638,0.085625077,223.74174765724155,50.72199821068473
47,0.29162177245598286,30355.370903309977,0.000299168,0.06413601,0.08648314,224.25473325465606,50.511484902970885
47.5,0.28286638436838984,32036.286380805937,0.000308281,0.057546384,0.084943322,222.22764983203228,50.956487737186166
48,0.27747845323756337,85032.29829147084,0.000210024,0.030978677587670537,0.061350107,218.62835712916993,57.06606314671237
48.5,0.2653556081932038,13106.418020659528,0.000749626,0.053681491,0.11442351677435926,221.3801193543871,45.66093606748532
49,0.26131465984508395,20155.522930084666,0.000467791,0.055248541,0.09913156,218.8501643712774,48.37969560009629
49.5,0.2640086254104972,65237.617312850074,0.000205953,0.039299802,0.067015809,216.11358426225775,55.608755101318444
50,0.26266164262779057,52797.28260630121,0.000219637,0.045204178,0.071912785,216.3088652939371,54.31852289418323
50.5,0.2667025909759104,71155.35508652974,0.000240567,0.031051248639951727,0.065103964,216.54590883214615,56.108781551013294
51,0.2707435393240303,133367.90862900196,0.000146027,0.027781474,0.052803111699250296,216.20889640645652,59.94049121633152
51.5,0.2667025909759104,45049.169701198945,0.00045,0.026183747535206657,0.07581952,217.66240585618914,53.280787959140795
52,0.2572737114969641,10970.00662126765,0.000518081,0.091830535,0.12141555613314604,220.2588490892019,44.673303086283354
52.5,0.2586206942796707,6258.702773829212,0.000577213,0.14511805421744048,0.1463912730618662,223.2069295357345,41.18228330958735
53,0.2518857803661376,18403.69890089132,0.000653793,0.042033242,0.10218212346619741,216.94053158784067,47.95166592602131
53.5,0.250538798,62491.444061170674,0.000254458,0.031349000950289245,0.067983436,212.95947242634574,55.53435441194892
54,0.25323276314884424,93494.73368055747,0.000132449,0.040818082962635914,0.059440289194080356,212.71505325212226,57.98766582114127
54.5,0.24784483201801777,81551.95677143152,0.000149684,0.040855766539179106,0.062210711,211.66766128535022,57.22087905055201
55,0.24515086645260453,137811.26092614935,0.000106975,0.033369133,0.052229403,209.90922548255543,60.50668164195411
55.5,0.24380388366989791,87498.65519323846,0.000156334,0.035598341,0.060768172,210.48578103396773,57.71648157073702
56,0.23841595253907144,93538.96019737456,0.000164681,0.03105021,0.059430919653054096,208.9438270555486,58.21126121736676
56.5,0.23841595253907144,103592.81678428696,0.000145291,0.031779964379898815,0.057442510986650826,208.72701594514834,58.842857740542485
57,0.23706896975636482,25216.063125599456,0.000398893,0.046977495669443536,0.091999232,212.14867263577645,50.121916162948004
57.5,0.2289870730601251,51518.698899642426,0.000241924,0.036798565,0.072502837,207.86867212116476,54.66901350654042
58,0.23033405584283173,63421.667041884146,0.000213079,0.034026004,0.06764942,207.69568604722096,55.93351220229418
58.5,0.2289870730601251,46138.36334876583,0.000268249,0.03698444,0.075218136,208.1694748,53.986623885516195
