distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.1118,13569.3735,0.0006,0.0258,0.1131,206.7534,31.4595
1.2500,0.1105,29055.9362,0.0003,0.0220,0.0878,203.2193,34.6323
2.5000,0.1105,883261.3129,0.0000,0.0062,0.0281,197.4374,44.5282
3.7500,0.1105,134560.0889,0.0002,0.0089,0.0526,199.8156,39.8651
5.0000,0.1105,106168.7125,0.0002,0.0098,0.0570,200.2351,39.1392
6.2500,0.1105,332892.9924,0.0001,0.0082,0.0389,198.4853,42.3495
7.5000,0.1105,558556.3445,0.0001,0.0059,0.0328,197.8873,43.5667
8.7500,0.1105,577348.8188,0.0001,0.0056,0.0324,197.8525,43.6397
10.0000,0.1105,538507.0898,0.0001,0.0058,0.0332,197.9263,43.4854
11.2500,0.1105,524751.7531,0.0001,0.0064,0.0334,197.9541,43.4274
12.5000,0.1105,632291.1264,0.0000,0.0071,0.0314,197.7587,43.8374
13.7500,0.1105,995435.8220,0.0000,0.0065,0.0270,197.3309,44.7619
15.0000,0.1105,158744.6107,0.0002,0.0067,0.0498,199.5420,40.3528
16.2500,0.1118,114023.4428,0.0003,0.0070,0.0556,201.2657,39.1381
17.5000,0.1145,73591.3131,0.0004,0.0083,0.0644,204.3546,37.3395
18.7500,0.1226,58032.2479,0.0005,0.0081,0.0697,211.2593,35.4667
20.0000,0.1293,59226.1794,0.0003,0.0129,0.0692,216.2521,34.7065
21.2500,0.1360,74634.8204,0.0002,0.0184,0.0641,220.6608,34.6125
22.5000,0.1374,273772.0853,0.0001,0.0160,0.0415,220.0054,37.6813
23.7500,0.1387,235833.0215,0.0001,0.0157,0.0437,221.1028,37.1842
25.0000,0.1401,185652.4702,0.0001,0.0158,0.0473,222.2888,36.4783
26.2500,0.1414,116552.9652,0.0001,0.0178,0.0552,223.7465,35.1986
27.5000,0.1441,167266.3043,0.0001,0.0143,0.0490,225.1482,35.7670
28.7500,0.1441,154649.1691,0.0001,0.0149,0.0503,225.2321,35.5846
30.0000,0.1441,87337.1199,0.0001,0.0261,0.0608,225.9145,34.1664
31.2500,0.1441,141201.9021,0.0001,0.0227,0.0518,225.3323,35.3693
32.5000,0.1441,121118.7193,0.0001,0.0232,0.0545,225.5082,34.9973
33.7500,0.1428,104498.1386,0.0001,0.0272,0.0573,224.7891,34.7736
35.0000,0.1441,140858.7950,0.0001,0.0232,0.0518,225.3350,35.3635
36.2500,0.1441,106386.8098,0.0001,0.0223,0.0569,225.6641,34.6739
37.5000,0.1441,114309.4013,0.0001,0.0208,0.0556,225.5769,34.8540
38.7500,0.1455,107692.5461,0.0001,0.0214,0.0567,226.5384,34.5613
40.0000,0.1495,46243.7612,0.0002,0.0309,0.0752,230.2701,31.9069
41.2500,0.1509,77424.7218,0.0002,0.0237,0.0633,230.4054,33.1810
42.5000,0.1509,136930.5355,0.0001,0.0177,0.0523,229.7570,34.5787
43.7500,0.1495,102518.3026,0.0001,0.0201,0.0576,229.2143,34.0226
45.0000,0.1482,88838.5844,0.0002,0.0192,0.0605,228.5232,33.7977
46.2500,0.1522,52884.7820,0.0003,0.0200,0.0719,231.7464,32.0410
47.5000,0.1563,37854.8860,0.0003,0.0256,0.0803,234.6686,30.7641
48.7500,0.1657,39261.3233,0.0007,0.0116,0.0794,240.0560,30.1327
50.0000,0.1751,53931.8324,0.0006,0.0111,0.0714,244.8676,30.2637
51.2500,0.1818,30768.0751,0.0008,0.0146,0.0861,248.9454,28.3839
52.5000,0.1940,28521.3177,0.0008,0.0175,0.0883,254.9488,27.4760
53.7500,0.2074,4273.1477,0.0017,0.0577,0.1662,262.7162,21.5766
55.0000,0.2074,4131.5470,0.0015,0.0664,0.1681,262.7549,21.4761
56.2500,0.1980,19049.6375,0.0004,0.0585,0.1010,257.1747,26.2140
57.5000,0.1967,30923.4293,0.0003,0.0393,0.0860,256.1511,27.5299
58.7500,0.1953,34056.7475,0.0003,0.0374,0.0832,255.4425,27.8437
60.0000,0.1940,10762.0160,0.0007,0.0499,0.1222,255.9227,24.8291
61.2500,0.1818,7085.0266,0.0008,0.0614,0.1405,250.9327,24.1383
